lon,lat,info
113.770035,22.702650,i22191-o2-h-3
113.772865,22.702650,i22192-o1-h-3
113.773811,22.702650,i22193-o1-h-3
113.774757,22.702650,i22194-o1-h-3
113.775696,22.702650,i22195-o1-h-3
113.790810,22.702650,i22196-o1-h-2
113.847458,22.702650,i22197-o1-h12
113.880501,22.702650,i22198-o1-h43
113.761536,22.703594,i22256-o2-h-3
113.762482,22.703594,i22257-o2-h-3
113.763428,22.703594,i22258-o2-h-3
113.764366,22.703594,i22259-o2-h-3
113.765312,22.703594,i22260-o2-h-3
113.766258,22.703594,i22261-o2-h-3
113.770981,22.703594,i22262-o2-h-3
113.771919,22.703594,i22263-o2-h-3
113.772865,22.703594,i22264-o1-h-3
113.773811,22.703594,i22265-o1-h-3
113.774757,22.703594,i22266-o1-h-3
113.775696,22.703594,i22267-o1-h-3
113.776642,22.703594,i22268-o1-h-3
113.792694,22.703594,i22269-o1-h-3
113.847458,22.703594,i22270-o1-h12
113.880501,22.703594,i22271-o1-h38
113.777588,22.704538,i22328-o1-h-3
113.778534,22.704538,i22329-o1-h-3
113.792694,22.704538,i22330-o1-h-3
113.847458,22.704538,i22331-o1-h9
113.880501,22.704538,i22332-o1-h38
113.779480,22.705482,i22380-o1-h-3
113.792694,22.705482,i22381-o1-h-3
113.847458,22.705482,i22382-o1-h9
113.881447,22.705482,i22383-o1-h38
113.780418,22.706427,i22448-o1-h-3
113.792694,22.706427,i22449-o1-h-3
113.847458,22.706427,i22450-o1-h9
113.881447,22.706427,i22451-o1-h38
113.781364,22.707371,i22523-o1-h-3
113.792694,22.707371,i22524-o1-h-3
113.846512,22.707371,i22525-o1-h9
113.881447,22.707371,i22526-o1-h35
113.793640,22.708315,i22583-o1-h-3
113.845566,22.708315,i22584-o1-h9
113.881447,22.708315,i22585-o1-h35
113.793640,22.709259,i22643-o1-h-3
113.838013,22.709259,i22644-o1-h7
113.838959,22.709259,i22645-o1-h7
113.840843,22.709259,i22646-o1-h9
113.844620,22.709259,i22647-o1-h9
113.873894,22.709259,i22648-o1-h27
113.874832,22.709259,i22649-o1-h27
113.875778,22.709259,i22650-o1-h27
113.882385,22.709259,i22651-o1-h31
113.793640,22.710203,i22695-o1-h-3
113.837067,22.710203,i22696-o1-h7
113.841789,22.710203,i22697-o1-h9
113.842735,22.710203,i22698-o1-h9
113.843681,22.710203,i22699-o1-h9
113.876724,22.710203,i22700-o1-h25
113.882385,22.710203,i22701-o1-h30
113.793640,22.711147,i22762-o1-h-3
113.837067,22.711147,i22763-o1-h7
113.877670,22.711147,i22764-o1-h25
113.881447,22.711147,i22765-o1-h29
113.793640,22.712091,i22824-o1-h-3
113.836128,22.712091,i22825-o1-h7
113.878609,22.712091,i22826-o1-h25
113.881447,22.712091,i22827-o1-h27
113.793640,22.713036,i22876-o1-h-3
113.836128,22.713036,i22877-o1-h7
113.878609,22.713036,i22878-o1-h25
113.881447,22.713036,i22879-o1-h25
113.792694,22.713980,i22927-o1-h-3
113.802139,22.713980,i22928-o1-h1
113.803078,22.713980,i22929-o1-h1
113.804024,22.713980,i22930-o1-h1
113.804970,22.713980,i22931-o1-h1
113.805916,22.713980,i22932-o1-h1
113.835182,22.713980,i22933-o1-h7
113.877670,22.713980,i22934-o1-h25
113.881447,22.713980,i22935-o1-h25
113.790810,22.714924,i22986-o1-h-3
113.801193,22.714924,i22987-o1-h1
113.821022,22.714924,i22988-o1-h5
113.836128,22.714924,i22989-o1-h6
113.877670,22.714924,i22990-o1-h25
113.881447,22.714924,i22991-o1-h24
113.790810,22.715868,i23055-o1-h-3
113.800247,22.715868,i23056-o1-h1
113.821960,22.715868,i23057-o1-h1
113.836128,22.715868,i23058-o1-h6
113.878609,22.715868,i23059-o1-h23
113.879555,22.715868,i23060-o1-h23
113.880501,22.715868,i23061-o1-h23
113.881447,22.715868,i23062-o2-h22
113.882385,22.715868,i23063-o2-h22
113.883331,22.715868,i23064-o2-h22
113.770981,22.716812,i23117-o1-h-3
113.771919,22.716812,i23118-o1-h-3
113.790810,22.716812,i23119-o1-h-3
113.799301,22.716812,i23120-o1-h1
113.821960,22.716812,i23121-o1-h1
113.835182,22.716812,i23122-o1-h6
113.884277,22.716812,i23123-o2-h22
113.768143,22.716812,i23174-o1-h-3
113.769089,22.716812,i23175-o1-h-3
113.770035,22.716812,i23176-o1-h-3
113.772865,22.716812,i23177-o1-h-3
113.790810,22.716812,i23178-o1-h-3
113.798363,22.716812,i23179-o1-h1
113.821960,22.716812,i23180-o1-h1
113.834236,22.716812,i23181-o2-h6
113.835182,22.716812,i23182-o1-h6
113.836128,22.716812,i23183-o1-h6
113.837067,22.716812,i23184-o1-h8
113.885223,22.716812,i23185-o2-h21
113.887108,22.716812,i23186-o2-h21
113.888054,22.716812,i23187-o2-h21
113.889938,22.716812,i23188-o2-h21
113.890884,22.716812,i23189-o2-h21
113.766258,22.717756,i23239-o1-h-3
113.772865,22.717756,i23240-o1-h-3
113.790810,22.717756,i23241-o1-h-3
113.797417,22.717756,i23242-o1-h1
113.822906,22.717756,i23243-o1-h1
113.833290,22.717756,i23244-o2-h6
113.886162,22.717756,i23245-o2-h21
113.891830,22.717756,i23246-o2-h21
113.765312,22.718700,i23285-o1-h-3
113.773811,22.718700,i23286-o1-h-3
113.790810,22.718700,i23287-o1-h-3
113.797417,22.718700,i23288-o1-h1
113.822906,22.718700,i23289-o1-h1
113.832352,22.718700,i23290-o2-h6
113.892776,22.718700,i23291-o2-h20
113.762482,22.719645,i23332-o1-h-3
113.763428,22.719645,i23333-o1-h-3
113.764366,22.719645,i23334-o1-h-3
113.790810,22.719645,i23335-o1-h-3
113.796471,22.719645,i23336-o1-h-1
113.822906,22.719645,i23337-o1-h1
113.830460,22.719645,i23338-o2-h1
113.831406,22.719645,i23339-o2-h3
113.893715,22.719645,i23340-o2-h19
113.761536,22.720589,i23389-o1-h-3
113.790810,22.720589,i23390-o1-h-3
113.794586,22.720589,i23391-o1-h-2
113.795525,22.720589,i23392-o1-h-2
113.822906,22.720589,i23393-o1-h1
113.830460,22.720589,i23394-o2-h1
113.860672,22.720589,i23395-o1-h9
113.894661,22.720589,i23396-o2-h19
113.760590,22.721533,i23439-o1-h-8
113.790810,22.721533,i23440-o1-h-3
113.793640,22.721533,i23441-o1-h-3
113.823853,22.721533,i23442-o1-h1
113.830460,22.721533,i23443-o2-h1
113.857841,22.721533,i23444-o1-h7
113.859726,22.721533,i23445-o1-h9
113.893715,22.721533,i23446-o2-h19
113.759651,22.722477,i23481-o1-h-8
113.792694,22.722477,i23482-o2-h-3
113.823853,22.722477,i23483-o1-h1
113.830460,22.722477,i23484-o2-h1
113.852173,22.722477,i23485-o1-h9
113.856895,22.722477,i23486-o1-h7
113.858788,22.722477,i23487-o1-h7
113.893715,22.722477,i23488-o2-h19
113.789864,22.723421,i23534-o2-h-3
113.790810,22.723421,i23535-o2-h-3
113.823853,22.723421,i23536-o1-h1
113.829514,22.723421,i23537-o2-h1
113.852173,22.723421,i23538-o1-h6
113.855949,22.723421,i23539-o2-h7
113.856895,22.723421,i23540-o2-h7
113.857841,22.723421,i23541-o2-h7
113.892776,22.723421,i23542-o2-h15
113.788918,22.724365,i23592-o2-h-3
113.823853,22.724365,i23593-o1-h1
113.829514,22.724365,i23594-o2-h1
113.853119,22.724365,i23595-o1-h3
113.855011,22.724365,i23596-o2-h6
113.858788,22.724365,i23597-o1-h7
113.859726,22.724365,i23598-o1-h9
113.860672,22.724365,i23599-o1-h9
113.861618,22.724365,i23600-o1-h9
113.862564,22.724365,i23601-o1-h9
113.891830,22.724365,i23602-o2-h10
113.892776,22.724365,i23603-o2-h11
113.789864,22.725309,i23647-o2-h-3
113.823853,22.725309,i23648-o1-h1
113.829514,22.725309,i23649-o2-h1
113.853119,22.725309,i23650-o1-h3
113.854065,22.725309,i23651-o2-h3
113.891830,22.725309,i23652-o2-h10
113.790810,22.726254,i23700-o2-h-3
113.824799,22.726254,i23701-o1-h1
113.829514,22.726254,i23702-o2-h1
113.853119,22.726254,i23703-o1-h3
113.854065,22.726254,i23704-o2-h3
113.891830,22.726254,i23705-o2-h10
113.790810,22.727198,i23766-o2-h-3
113.825737,22.727198,i23767-o1-h1
113.829514,22.727198,i23768-o2-h1
113.853119,22.727198,i23769-o2-h3
113.891830,22.727198,i23770-o2-h10
113.790810,22.728142,i23833-o2-h-3
113.826683,22.728142,i23834-o1-h1
113.828575,22.728142,i23835-o2-h1
113.852173,22.728142,i23836-o2-h3
113.890884,22.728142,i23837-o2-h10
113.790810,22.729086,i23901-o2-h-3
113.826683,22.729086,i23902-o1-h1
113.827629,22.729086,i23903-o2-h1
113.851234,22.729086,i23904-o2-h3
113.890884,22.729086,i23905-o2-h10
113.790810,22.730030,i23986-o2-h-3
113.826683,22.730030,i23987-o2-h1
113.850288,22.730030,i23988-o2-h3
113.891830,22.730030,i23989-o2-h10
113.892776,22.730030,i23990-o2-h10
113.893715,22.730030,i23991-o2-h10
113.894661,22.730030,i23992-o2-h10
113.789864,22.730974,i24078-o2-h-3
113.807800,22.730974,i24079-o1-h5
113.825737,22.730974,i24080-o2-h1
113.849342,22.730974,i24081-o2-h3
113.895607,22.730974,i24082-o2-h10
113.789864,22.731918,i24176-o2-h-3
113.795525,22.731918,i24177-o1-h-2
113.796471,22.731918,i24178-o1-h-2
113.797417,22.731918,i24179-o1-h-2
113.805916,22.731918,i24180-o1-h3
113.806854,22.731918,i24181-o1-h5
113.824799,22.731918,i24182-o2-h-2
113.848396,22.731918,i24183-o2-h3
113.849342,22.731918,i24184-o1-h3
113.850288,22.731918,i24185-o1-h3
113.851234,22.731918,i24186-o1-h3
113.789864,22.732862,i24266-o2-h-3
113.790810,22.732862,i24267-o1-h-3
113.794586,22.732862,i24268-o1-h-2
113.798363,22.732862,i24269-o1-h-2
113.799301,22.732862,i24270-o1-h-2
113.800247,22.732862,i24271-o1-h-2
113.801193,22.732862,i24272-o1-h0
113.802139,22.732862,i24273-o1-h1
113.803078,22.732862,i24274-o1-h1
113.804024,22.732862,i24275-o1-h1
113.804970,22.732862,i24276-o1-h3
113.822906,22.732862,i24277-o1-h-2
113.823853,22.732862,i24278-o2-h-2
113.838013,22.732862,i24279-o2-h-1
113.847458,22.732862,i24280-o2-h3
113.852173,22.732862,i24281-o1-h3
113.788918,22.733807,i24341-o2-h-3
113.792694,22.733807,i24342-o1-h-2
113.793640,22.733807,i24343-o1-h-2
113.822906,22.733807,i24344-o1-h-2
113.823853,22.733807,i24345-o2-h-2
113.837067,22.733807,i24346-o2-h-1
113.838959,22.733807,i24347-o2-h2
113.846512,22.733807,i24348-o2-h3
113.787971,22.734751,i24404-o2-h-3
113.822906,22.734751,i24405-o1-h-2
113.823853,22.734751,i24406-o2-h-2
113.836128,22.734751,i24407-o2-h-1
113.840843,22.734751,i24408-o2-h2
113.844620,22.734751,i24409-o2-h3
113.845566,22.734751,i24410-o2-h3
113.787971,22.735695,i24473-o2-h-3
113.822906,22.735695,i24474-o1-h-2
113.823853,22.735695,i24475-o2-h-2
113.835182,22.735695,i24476-o2-h-1
113.841789,22.735695,i24477-o2-h2
113.842735,22.735695,i24478-o2-h2
113.843681,22.735695,i24479-o2-h3
113.787971,22.736639,i24529-o2-h-3
113.821960,22.736639,i24530-o1-h-2
113.823853,22.736639,i24531-o2-h-2
113.834236,22.736639,i24532-o2-h-1
